sost.femm. non ref. solo sing.,NOUN,
sost.masch solo sing.,NOUN,
sost.masch. inv. temp.,NOUN,
sost.femm solo sing.,NOUN,
sost. masch. inv.,NOUN,
sost. pl.,NOUN,
ti-tolo masch. solo sing. det.,NOUN,
titolo masch. solo sing.,NOUN,
verbo,VERB,
verbo ausiliare,VERB,
verbo procompl.,VERB,
verbo pronom.,VERB,
verbo pronom.  procompl.,VERB,
verbo pronom. pro-compl.,VERB,
verbo pronom. procompl.,VERB,
impers.,VERB,
verbo prenom.,VERB,
verbo pronom,VERB,
verbo pro-nom.,VERB,
verbo.,VERB,
verbo impers.,VERB,
verbo verbo,VERB,
a pers. sing. masch. e femm.,IGNORED,unexpected
